,Titres,"[Formats, Prix]",Nombre de pages Format Broché,Taille du fichier Kindle,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
185,Granolas et mueslis,"['Relié 7,99', 'Format Kindle 5,99']",None,29771 KB,None,96,None,None,18 x 1.5 x 21 cm,"3,9",9,https://www.amazon.fr//Granolas-mueslis-Soizic-Chomel-Varagnes/dp/2016269006/ref=sr_1_160?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-160
186,Marmiton TOP - Vos recettes light préférées,"['Broché 16,90']",398,None,None,None,19.2 x 4.4 x 21.6 cm,None,None,"4,5",4,https://www.amazon.fr//Marmiton-TOP-recettes-light-pr%C3%A9f%C3%A9r%C3%A9es/dp/280967003X/ref=sr_1_161?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-161
187,Bouddha Bowls Plaisir: Livre de recette à remplir⎪80 fiches préformatées ⎪Bowlcake Poke Bowl et toutes vos recettes Bowl⎪Grande format,"['Broché 7,99']",92,None,None,None,17.78 x 0.53 x 25.4 cm,None,None,"3,0",2,https://www.amazon.fr//Bouddha-Bowls-Plaisir-pr%C3%A9format%C3%A9es-Bowl%E2%8E%AAGrande/dp/B08NV41D79/ref=sr_1_162?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-162
188,LE REGIME IG BAS,"['Format Kindle 14,99', 'Relié 19,95']",None,66141 KB,None,224,None,None,19.7 x 2.4 x 25.3 cm,"4,4",114,https://www.amazon.fr//REGIME-BAS-Marie-Laure-Andr%C3%A9/dp/2017084484/ref=sr_1_163?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-163
189,Mes Jus de Légumes - recettes à l'extracteur: Carnet de recettes à compléter de vos 100 jus de légumes et fruits préférés | livre de 60 pages | format 15.24 x 22.86 cm,"['Broché 5,99']",59,None,None,None,15.24 x 0.36 x 22.86 cm,None,None,"1,0",2,https://www.amazon.fr//Mes-Jus-L%C3%A9gumes-lextracteur-compl%C3%A9ter/dp/B085RTKHJ5/ref=sr_1_164?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-164
190,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg10_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_165_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672783%26s%3Dbooks%26sr%3D1-165-spons%26psc%3D1&qualifier=1618672783&id=953491179082755&widgetName=sp_btf
191,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg10_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_166_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672783%26s%3Dbooks%26sr%3D1-166-spons%26psc%3D1&qualifier=1618672783&id=953491179082755&widgetName=sp_btf
192,"Candida Albicans - La reconnaître : fatigue, surpoids, maux de ventre... Les solutions naturelles","['Broché 19,90']",184,None,None,None,16.5 x 1.8 x 24.1 cm,None,None,"3,9",20,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg11_1?ie=UTF8&adId=A05503777H8ZYWZQ4DKU&url=%2FCandida-Albicans-reconna%25C3%25AEtre-solutions-naturelles%2Fdp%2F2359344692%2Fref%3Dsr_1_161_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672784%26s%3Dbooks%26sr%3D1-161-spons%26psc%3D1&qualifier=1618672784&id=8728088714950930&widgetName=sp_atf_next
193,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg11_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_162_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672784%26s%3Dbooks%26sr%3D1-162-spons%26psc%3D1&qualifier=1618672784&id=8728088714950930&widgetName=sp_atf_next
194,40 Recettes de Smoothie faciles pour tous les jours: De la recette hypocalorique à la bombe à énergie pure,"['Format Kindle 4,99', 'Broché 5,99']",44,: Illimité,None,None,19.05 x 0.25 x 23.5 cm,None,None,"3,6",12,https://www.amazon.fr//Recettes-Smoothie-faciles-pour-jours/dp/1722809841/ref=sr_1_163?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-163
